_ID,fecha,Nombre_Centro,Contador_Asistieron
1,6/8/2018,Ormsby Community Center,10
2,6/8/2018,Paulson Community Center,19
3,6/8/2018,Phillips Community Center,107
4,6/8/2018,Ammon Community Center,81
5,6/8/2018,Brookline Community Center,33
6,6/8/2018,Jefferson Community Center,29
7,6/8/2018,Warrington Community Center,15
8,6/8/2018,West Penn Community Center,54
9,6/7/2018,Phillips Community Center,77
10,6/7/2018,Paulson Community Center,25
11,6/7/2018,Ormsby Community Center,17
12,6/7/2018,Ammon Community Center,133
13,6/7/2018,Jefferson Community Center,65
14,6/7/2018,Brookline Community Center,54
15,6/7/2018,West Penn Community Center,30
16,6/7/2018,Warrington Community Center,26
17,6/6/2018,Ormsby Community Center,18
18,6/6/2018,Paulson Community Center,14
19,6/6/2018,Phillips Community Center,122
20,6/6/2018,Ammon Community Center,125
21,6/6/2018,Brookline Community Center,49
22,6/6/2018,Jefferson Community Center,4
23,6/6/2018,Warrington Community Center,20
24,6/6/2018,West Penn Community Center,47
25,6/5/2018,Phillips Community Center,136
26,6/5/2018,Paulson Community Center,19
27,6/5/2018,Ormsby Community Center,25
28,6/5/2018,Ammon Community Center,122
29,6/5/2018,Jefferson Community Center,9
30,6/5/2018,Brookline Community Center,48
31,6/5/2018,West Penn Community Center,68
32,6/5/2018,Warrington Community Center,14
33,6/4/2018,Ormsby Community Center,21
34,6/4/2018,Paulson Community Center,34
35,6/4/2018,Phillips Community Center,112
36,6/4/2018,Ammon Community Center,62
37,6/4/2018,Brookline Community Center,43
38,6/4/2018,Jefferson Community Center,25
39,6/4/2018,Warrington Community Center,19
40,6/4/2018,West Penn Community Center,33
41,6/2/2018,Phillips Community Center,19
42,6/2/2018,Brookline Community Center,20
43,6/2/2018,West Penn Community Center,41
44,6/1/2018,Phillips Community Center,88
45,6/1/2018,Paulson Community Center,19
46,6/1/2018,Ormsby Community Center,15
47,6/1/2018,Ammon Community Center,30
48,6/1/2018,Brookline Community Center,37
49,6/1/2018,Jefferson Community Center,18
50,6/1/2018,West Penn Community Center,41
51,6/1/2018,Warrington Community Center,8
52,5/31/2018,Ormsby Community Center,22
53,5/31/2018,Paulson Community Center,21
54,5/31/2018,Phillips Community Center,87
55,5/31/2018,Ammon Community Center,96
56,5/31/2018,Jefferson Community Center,44
57,5/31/2018,Brookline Community Center,37
58,5/31/2018,Warrington Community Center,31
59,5/31/2018,West Penn Community Center,49
60,5/30/2018,Phillips Community Center,316
61,5/30/2018,Paulson Community Center,20
62,5/30/2018,Ormsby Community Center,14
63,5/30/2018,Ammon Community Center,46
64,5/30/2018,Brookline Community Center,46
65,5/30/2018,Jefferson Community Center,58
66,5/30/2018,West Penn Community Center,63
67,5/30/2018,Warrington Community Center,15
68,5/29/2018,Ormsby Community Center,28
69,5/29/2018,Paulson Community Center,53
70,5/29/2018,Phillips Community Center,87
71,5/29/2018,Ammon Community Center,87
72,5/29/2018,Jefferson Community Center,111
73,5/29/2018,Brookline Community Center,55
74,5/29/2018,Warrington Community Center,17
75,5/29/2018,West Penn Community Center,62
76,5/25/2018,Phillips Community Center,69
77,5/25/2018,Paulson Community Center,23
78,5/25/2018,Ormsby Community Center,45
79,5/25/2018,Brookline Community Center,36
80,5/25/2018,West Penn Community Center,31
81,5/25/2018,Warrington Community Center,10
82,5/24/2018,Ormsby Community Center,54
83,5/24/2018,Paulson Community Center,28
84,5/24/2018,Phillips Community Center,63
85,5/24/2018,Ammon Community Center,98
86,5/24/2018,Brookline Community Center,39
87,5/24/2018,Jefferson Community Center,47
88,5/24/2018,Warrington Community Center,10
89,5/24/2018,West Penn Community Center,94
90,5/23/2018,Phillips Community Center,105
91,5/23/2018,Paulson Community Center,24
92,5/23/2018,Ormsby Community Center,35
93,5/23/2018,Jefferson Community Center,55
94,5/23/2018,Brookline Community Center,47
95,5/23/2018,West Penn Community Center,57
96,5/23/2018,Warrington Community Center,18
97,5/22/2018,Ormsby Community Center,21
98,5/22/2018,Paulson Community Center,25
99,5/22/2018,Phillips Community Center,97
100,5/22/2018,Ammon Community Center,135
101,5/22/2018,Brookline Community Center,68
102,5/22/2018,Jefferson Community Center,44
103,5/22/2018,Warrington Community Center,16
104,5/22/2018,West Penn Community Center,76
105,5/21/2018,Phillips Community Center,180
106,5/21/2018,Paulson Community Center,15
107,5/21/2018,Ormsby Community Center,51
108,5/21/2018,Ammon Community Center,111
109,5/21/2018,Jefferson Community Center,48
110,5/21/2018,Brookline Community Center,54
111,5/21/2018,West Penn Community Center,66
112,5/21/2018,Warrington Community Center,17
113,5/19/2018,Phillips Community Center,62
114,5/19/2018,Brookline Community Center,6
115,5/19/2018,West Penn Community Center,41
116,5/18/2018,Phillips Community Center,119
117,5/18/2018,Ormsby Community Center,16
118,5/18/2018,Paulson Community Center,7
119,5/18/2018,Brookline Community Center,29
120,5/18/2018,Jefferson Community Center,37
121,5/18/2018,West Penn Community Center,39
122,5/18/2018,Warrington Community Center,17
123,5/17/2018,Paulson Community Center,19
124,5/17/2018,Ormsby Community Center,54
125,5/17/2018,Phillips Community Center,112
126,5/17/2018,Ammon Community Center,54
127,5/17/2018,Jefferson Community Center,37
128,5/17/2018,Brookline Community Center,20
129,5/17/2018,Warrington Community Center,21
130,5/17/2018,West Penn Community Center,123
131,5/16/2018,Phillips Community Center,122
132,5/16/2018,Ormsby Community Center,43
133,5/16/2018,Paulson Community Center,18
134,5/16/2018,Ammon Community Center,79
135,5/16/2018,Brookline Community Center,65
136,5/16/2018,Jefferson Community Center,43
137,5/16/2018,West Penn Community Center,56
138,5/16/2018,Warrington Community Center,10
139,5/15/2018,Paulson Community Center,27
140,5/15/2018,Ormsby Community Center,48
141,5/15/2018,Phillips Community Center,183
142,5/15/2018,Ammon Community Center,34
143,5/15/2018,Jefferson Community Center,40
144,5/15/2018,Brookline Community Center,1
145,5/15/2018,West Penn Community Center,74
146,5/14/2018,Phillips Community Center,127
147,5/14/2018,Ormsby Community Center,53
148,5/14/2018,Paulson Community Center,25
149,5/14/2018,Ammon Community Center,114
150,5/14/2018,Brookline Community Center,46
151,5/14/2018,West Penn Community Center,45
152,5/14/2018,Warrington Community Center,30
153,5/12/2018,Phillips Community Center,20
